stage,n_days,quota_exponent,museum_phrase,landmark_phrase,religion_phrase,total_reachable,iconic_reachable,reachable_culture,reachable_food,reachable_history,reachable_landmark,reachable_museum,reachable_nature,reachable_nightlife,reachable_religion,reachable_shopping,categories_below_baseline,losses
2,5,0.5,museum collections,landmark sights,church buildings cathedrals and chapels,538,24,79,61,58,54,92,76,41,48,29,2,religion -8; shopping -1
2,1,0.5,museum collections,landmark sights,church cathedral basilica and chapel buildings,168,21,8,24,11,8,20,41,30,13,13,5,culture -2; landmark -1; nature -6; nightlife -5; shopping -3
2,3,0.5,museum collections,landmark sights,church cathedral basilica and chapel buildings,426,24,58,46,56,27,57,74,41,39,28,3,food -1; nature -1; shopping -1
2,5,0.5,museum collections,landmark sights,church cathedral basilica and chapel buildings,546,24,79,61,58,54,92,76,41,56,29,1,shopping -1
2,1,0.4,museum collections,landmark sights,church buildings and places of worship,163,21,9,24,11,10,20,40,29,8,12,5,culture -1; nature -7; nightlife -6; religion -2; shopping -4
2,3,0.4,museum collections,landmark sights,church buildings and places of worship,421,24,58,45,57,27,60,74,41,31,28,3,food -2; nature -1; shopping -1
2,5,0.4,museum collections,landmark sights,church buildings and places of worship,542,24,79,61,58,54,91,76,41,53,29,2,religion -3; shopping -1
2,1,0.4,museum collections,landmark sights,church buildings cathedrals and chapels,162,21,9,24,11,9,19,40,29,9,12,5,culture -1; nature -7; nightlife -6; religion -1; shopping -4
2,3,0.4,museum collections,landmark sights,church buildings cathedrals and chapels,422,24,58,45,57,28,58,74,41,33,28,3,food -2; nature -1; shopping -1
2,5,0.4,museum collections,landmark sights,church buildings cathedrals and chapels,540,24,79,61,58,55,92,76,41,49,29,2,religion -7; shopping -1
2,1,0.4,museum collections,landmark sights,church cathedral basilica and chapel buildings,164,21,9,24,11,8,18,40,29,13,12,6,culture -1; landmark -1; museum -1; nature -7; nightlife -6; shopping -4
2,3,0.4,museum collections,landmark sights,church cathedral basilica and chapel buildings,425,24,58,45,57,27,56,74,41,39,28,3,food -2; nature -1; shopping -1
2,5,0.4,museum collections,landmark sights,church cathedral basilica and chapel buildings,549,24,79,61,58,54,92,76,41,59,29,1,shopping -1
