city,archetype,poi_id,name,category,popularity_score,in_pool,in_shortlist,in_plan
PAR,Budget Backpacker,POI0005,Père Lachaise Cemetery,history,4.97,False,False,False
PAR,Budget Backpacker,POI0006,Montmartre,nature,4.96,True,True,True
PAR,Budget Backpacker,POI0020,Catacombs of Paris,museum,4.95,False,False,False
PAR,Budget Backpacker,POI0011,Panthéon,religion,4.94,False,False,False
PAR,Budget Backpacker,POI0017,Sacré-Cœur,religion,4.93,False,False,False
PAR,Budget Backpacker,POI0007,Moulin Rouge,nightlife,4.92,True,True,True
PAR,Budget Backpacker,POI0030,Les Invalides,landmark,4.92,False,False,False
PAR,Culture Enthusiast,POI0001,Eiffel Tower,landmark,5.0,True,True,True
PAR,Culture Enthusiast,POI0003,Notre-Dame de Paris,religion,4.99,True,True,True
PAR,Culture Enthusiast,POI0002,Louvre Museum,museum,4.99,True,True,True
PAR,Culture Enthusiast,POI0008,Musée d'Orsay,museum,4.98,True,True,True
PAR,Culture Enthusiast,POI0009,Bastille,landmark,4.97,True,True,True
PAR,Culture Enthusiast,POI0005,Père Lachaise Cemetery,history,4.97,True,True,True
PAR,Culture Enthusiast,POI0006,Montmartre,nature,4.96,False,False,False
PAR,Culture Enthusiast,POI0020,Catacombs of Paris,museum,4.95,True,True,True
PAR,Culture Enthusiast,POI0011,Panthéon,religion,4.94,True,True,True
PAR,Culture Enthusiast,POI0017,Sacré-Cœur,religion,4.93,True,True,True
PAR,Culture Enthusiast,POI0007,Moulin Rouge,nightlife,4.92,False,False,False
PAR,Culture Enthusiast,POI0030,Les Invalides,landmark,4.92,True,True,True
PAR,Family Traveler,POI0001,Eiffel Tower,landmark,5.0,True,True,True
PAR,Family Traveler,POI0003,Notre-Dame de Paris,religion,4.99,True,True,True
PAR,Family Traveler,POI0002,Louvre Museum,museum,4.99,True,True,True
PAR,Family Traveler,POI0008,Musée d'Orsay,museum,4.98,True,True,True
PAR,Family Traveler,POI0009,Bastille,landmark,4.97,True,True,True
PAR,Family Traveler,POI0005,Père Lachaise Cemetery,history,4.97,False,False,False
PAR,Family Traveler,POI0006,Montmartre,nature,4.96,True,True,True
PAR,Family Traveler,POI0020,Catacombs of Paris,museum,4.95,True,True,False
PAR,Family Traveler,POI0011,Panthéon,religion,4.94,False,False,False
PAR,Family Traveler,POI0017,Sacré-Cœur,religion,4.93,False,False,False
PAR,Family Traveler,POI0007,Moulin Rouge,nightlife,4.92,False,False,False
PAR,Family Traveler,POI0030,Les Invalides,landmark,4.92,True,True,True
PAR,Luxury Traveler,POI0001,Eiffel Tower,landmark,5.0,True,True,True
PAR,Luxury Traveler,POI0003,Notre-Dame de Paris,religion,4.99,True,True,True
PAR,Luxury Traveler,POI0002,Louvre Museum,museum,4.99,True,True,True
PAR,Luxury Traveler,POI0008,Musée d'Orsay,museum,4.98,True,True,True
PAR,Luxury Traveler,POI0009,Bastille,landmark,4.97,True,True,True
PAR,Luxury Traveler,POI0005,Père Lachaise Cemetery,history,4.97,False,False,False
PAR,Luxury Traveler,POI0006,Montmartre,nature,4.96,False,False,False
PAR,Luxury Traveler,POI0020,Catacombs of Paris,museum,4.95,False,False,False
PAR,Luxury Traveler,POI0011,Panthéon,religion,4.94,False,False,False
PAR,Luxury Traveler,POI0017,Sacré-Cœur,religion,4.93,False,False,False
PAR,Luxury Traveler,POI0007,Moulin Rouge,nightlife,4.92,False,False,False
PAR,Luxury Traveler,POI0030,Les Invalides,landmark,4.92,True,True,True
PAR,Nature & Adventure,POI0001,Eiffel Tower,landmark,5.0,True,True,True
PAR,Nature & Adventure,POI0003,Notre-Dame de Paris,religion,4.99,True,True,True
PAR,Nature & Adventure,POI0002,Louvre Museum,museum,4.99,True,True,True
PAR,Nature & Adventure,POI0008,Musée d'Orsay,museum,4.98,False,False,False
PAR,Nature & Adventure,POI0009,Bastille,landmark,4.97,False,False,False
PAR,Nature & Adventure,POI0005,Père Lachaise Cemetery,history,4.97,True,True,False
PAR,Nature & Adventure,POI0006,Montmartre,nature,4.96,True,True,True
PAR,Nature & Adventure,POI0020,Catacombs of Paris,museum,4.95,False,False,False
PAR,Nature & Adventure,POI0011,Panthéon,religion,4.94,False,False,False
PAR,Nature & Adventure,POI0017,Sacré-Cœur,religion,4.93,False,False,False
PAR,Nature & Adventure,POI0007,Moulin Rouge,nightlife,4.92,False,False,False
PAR,Nature & Adventure,POI0030,Les Invalides,landmark,4.92,False,False,False
PAR,Nightlife Seeker,POI0001,Eiffel Tower,landmark,5.0,True,True,False
PAR,Nightlife Seeker,POI0003,Notre-Dame de Paris,religion,4.99,True,True,True
PAR,Nightlife Seeker,POI0002,Louvre Museum,museum,4.99,True,True,True
PAR,Nightlife Seeker,POI0008,Musée d'Orsay,museum,4.98,False,False,False
PAR,Nightlife Seeker,POI0009,Bastille,landmark,4.97,False,False,False
PAR,Nightlife Seeker,POI0005,Père Lachaise Cemetery,history,4.97,False,False,False
PAR,Nightlife Seeker,POI0006,Montmartre,nature,4.96,False,False,False
PAR,Nightlife Seeker,POI0020,Catacombs of Paris,museum,4.95,False,False,False
PAR,Nightlife Seeker,POI0011,Panthéon,religion,4.94,False,False,False
PAR,Nightlife Seeker,POI0017,Sacré-Cœur,religion,4.93,False,False,False
PAR,Nightlife Seeker,POI0007,Moulin Rouge,nightlife,4.92,True,True,True
PAR,Nightlife Seeker,POI0030,Les Invalides,landmark,4.92,False,False,False
