top_k,city,archetype,budget_hours,n_sightseeing,n_food,arm,drop_penalty_m,mean_pref_match,mean_quality,categories_per_day,stops,sight_stops,food_stops,km,stops_per_day,sight_per_day,km_per_stop,closed_violations,budget_overruns,days_with_meals,n_days
72,PAR,Family Traveler,12,69,47,scored,1000.0,0.5499,0.7595,3.0,21,15,6,6.88,7.0,5.0,0.3276190476190476,0,0,3,3
72,PAR,Family Traveler,12,69,47,toptw,2000.0,0.5521,0.8339,3.667,25,19,6,11.44,8.333333333333334,6.333333333333333,0.45760000000000006,0,0,3,3
72,PAR,Family Traveler,12,69,47,scored,2000.0,0.5567,0.8586,3.333,25,19,6,12.62,8.333333333333334,6.333333333333333,0.5048,0,0,3,3
72,PAR,Family Traveler,12,69,47,toptw,4000.0,0.5567,0.8157,3.333,25,19,6,10.79,8.333333333333334,6.333333333333333,0.4316,0,0,3,3
72,PAR,Family Traveler,12,69,47,scored,4000.0,0.5567,0.7827,3.333,25,19,6,12.37,8.333333333333334,6.333333333333333,0.4948,0,0,3,3
72,PAR,Family Traveler,12,69,47,toptw,8000.0,0.5521,0.8339,3.667,25,19,6,11.44,8.333333333333334,6.333333333333333,0.45760000000000006,0,0,3,3
72,PAR,Family Traveler,12,69,47,scored,8000.0,0.5655,0.7606,3.0,24,18,6,19.51,8.0,6.0,0.8129166666666666,0,0,3,3
72,PAR,Family Traveler,12,69,47,toptw,16000.0,0.5521,0.8339,3.667,25,19,6,11.44,8.333333333333334,6.333333333333333,0.45760000000000006,0,0,3,3
72,PAR,Family Traveler,12,69,47,scored,16000.0,0.5798,0.8333,3.0,24,18,6,21.35,8.0,6.0,0.8895833333333334,0,0,3,3
72,PAR,Family Traveler,15,69,47,baseline,,0.556,0.7474,3.0,24,19,5,33.4,8.0,6.333333333333333,1.3916666666666666,0,0,2,3
72,PAR,Family Traveler,15,69,47,toptw,1000.0,0.5611,0.8371,3.333,26,20,6,9.22,8.666666666666666,6.666666666666667,0.35461538461538467,0,0,3,3
72,PAR,Family Traveler,15,69,47,scored,1000.0,0.547,0.8776,3.667,30,24,6,14.01,10.0,8.0,0.46699999999999997,0,0,3,3
72,PAR,Family Traveler,15,69,47,toptw,2000.0,0.5505,0.8546,3.333,30,24,6,14.4,10.0,8.0,0.48000000000000004,0,0,3,3
72,PAR,Family Traveler,15,69,47,scored,2000.0,0.5536,0.8728,4.0,29,23,6,16.87,9.666666666666666,7.666666666666667,0.5817241379310345,0,0,3,3
72,PAR,Family Traveler,15,69,47,toptw,4000.0,0.5443,0.8457,3.667,31,25,6,15.87,10.333333333333334,8.333333333333334,0.5119354838709678,0,0,3,3
72,PAR,Family Traveler,15,69,47,scored,4000.0,0.5505,0.7803,4.0,30,24,6,19.85,10.0,8.0,0.6616666666666667,0,0,3,3
72,PAR,Family Traveler,15,69,47,toptw,8000.0,0.5443,0.8457,3.667,31,25,6,15.87,10.333333333333334,8.333333333333334,0.5119354838709678,0,0,3,3
72,PAR,Family Traveler,15,69,47,scored,8000.0,0.5605,0.7964,3.667,29,23,6,23.68,9.666666666666666,7.666666666666667,0.816551724137931,0,0,3,3
72,PAR,Family Traveler,15,69,47,toptw,16000.0,0.5443,0.8457,3.667,31,25,6,15.87,10.333333333333334,8.333333333333334,0.5119354838709678,0,0,3,3
72,PAR,Family Traveler,15,69,47,scored,16000.0,0.5608,0.7843,3.667,29,23,6,27.64,9.666666666666666,7.666666666666667,0.9531034482758621,0,0,3,3
72,PAR,Family Traveler,18,69,47,baseline,,0.5798,0.7465,3.333,27,22,5,41.03,9.0,7.333333333333333,1.5196296296296297,0,0,2,3
72,PAR,Family Traveler,18,69,47,toptw,1000.0,0.5612,0.8522,3.0,24,18,6,8.21,8.0,6.0,0.34208333333333335,0,0,3,3
72,PAR,Family Traveler,18,69,47,scored,1000.0,0.5537,0.8606,3.667,29,23,6,14.0,9.666666666666666,7.666666666666667,0.4827586206896552,0,0,3,3
72,PAR,Family Traveler,18,69,47,toptw,2000.0,0.5613,0.8232,3.667,32,26,6,15.88,10.666666666666666,8.666666666666666,0.49625,0,0,3,3
72,PAR,Family Traveler,18,69,47,scored,2000.0,0.5474,0.8725,4.0,31,25,6,19.08,10.333333333333334,8.333333333333334,0.6154838709677419,0,0,3,3
72,PAR,Family Traveler,18,69,47,toptw,4000.0,0.5734,0.8044,3.667,34,28,6,20.48,11.333333333333334,9.333333333333334,0.6023529411764706,0,0,3,3
72,PAR,Family Traveler,18,69,47,scored,4000.0,0.5482,0.7635,3.667,33,27,6,27.69,11.0,9.0,0.8390909090909091,0,0,3,3
72,PAR,Family Traveler,18,69,47,toptw,8000.0,0.5581,0.8318,3.667,34,28,6,19.96,11.333333333333334,9.333333333333334,0.5870588235294117,0,0,3,3
72,PAR,Family Traveler,18,69,47,scored,8000.0,0.5575,0.7728,3.333,32,26,6,26.2,10.666666666666666,8.666666666666666,0.81875,0,0,3,3
72,PAR,Family Traveler,18,69,47,toptw,16000.0,0.5581,0.8318,3.667,34,28,6,19.96,11.333333333333334,9.333333333333334,0.5870588235294117,0,0,3,3
72,PAR,Family Traveler,18,69,47,scored,16000.0,0.5605,0.8555,3.333,31,25,6,30.44,10.333333333333334,8.333333333333334,0.9819354838709677,0,0,3,3
72,BER,Culture Enthusiast,12,72,14,baseline,,0.6705,0.8356,4.0,23,19,4,16.5,7.666666666666667,6.333333333333333,0.717391304347826,0,0,1,3
72,BER,Culture Enthusiast,12,72,14,toptw,1000.0,0.7106,0.8067,4.0,25,19,6,6.1,8.333333333333334,6.333333333333333,0.244,0,0,3,3
72,BER,Culture Enthusiast,12,72,14,scored,1000.0,0.7341,0.7912,3.667,23,17,6,3.81,7.666666666666667,5.666666666666667,0.1656521739130435,0,0,3,3
72,BER,Culture Enthusiast,12,72,14,toptw,2000.0,0.7356,0.7816,3.333,24,18,6,3.59,8.0,6.0,0.14958333333333332,0,0,3,3
72,BER,Culture Enthusiast,12,72,14,scored,2000.0,0.7247,0.7769,4.0,25,19,6,6.32,8.333333333333334,6.333333333333333,0.2528,0,0,3,3
72,BER,Culture Enthusiast,12,72,14,toptw,4000.0,0.7374,0.8083,3.0,24,18,6,4.43,8.0,6.0,0.18458333333333332,0,0,3,3
72,BER,Culture Enthusiast,12,72,14,scored,4000.0,0.7215,0.8021,4.0,26,20,6,6.51,8.666666666666666,6.666666666666667,0.25038461538461537,0,0,3,3
72,BER,Culture Enthusiast,12,72,14,toptw,8000.0,0.7393,0.7912,3.0,24,18,6,3.97,8.0,6.0,0.16541666666666666,0,0,3,3
72,BER,Culture Enthusiast,12,72,14,scored,8000.0,0.7503,0.8078,3.333,24,18,6,8.34,8.0,6.0,0.3475,0,0,3,3
72,BER,Culture Enthusiast,12,72,14,toptw,16000.0,0.7393,0.7912,3.0,24,18,6,3.97,8.0,6.0,0.16541666666666666,0,0,3,3
72,BER,Culture Enthusiast,12,72,14,scored,16000.0,0.7229,0.7901,4.0,25,19,6,7.1,8.333333333333334,6.333333333333333,0.28400000000000003,0,0,3,3
72,BER,Culture Enthusiast,15,72,14,baseline,,0.6665,0.802,4.0,27,21,6,25.35,9.0,7.0,0.938888888888889,0,0,3,3
72,BER,Culture Enthusiast,15,72,14,toptw,1000.0,0.7282,0.8134,3.667,28,22,6,6.34,9.333333333333334,7.333333333333333,0.22642857142857142,0,0,3,3
72,BER,Culture Enthusiast,15,72,14,scored,1000.0,0.7282,0.8568,4.0,29,23,6,8.45,9.666666666666666,7.666666666666667,0.29137931034482756,0,0,3,3
72,BER,Culture Enthusiast,15,72,14,toptw,2000.0,0.7282,0.8353,3.333,29,23,6,8.8,9.666666666666666,7.666666666666667,0.3034482758620689,0,0,3,3
72,BER,Culture Enthusiast,15,72,14,scored,2000.0,0.7383,0.8038,3.333,29,23,6,9.34,9.666666666666666,7.666666666666667,0.3220689655172414,0,0,3,3
72,BER,Culture Enthusiast,15,72,14,toptw,4000.0,0.7116,0.822,4.333,30,24,6,13.53,10.0,8.0,0.451,0,0,3,3
72,BER,Culture Enthusiast,15,72,14,scored,4000.0,0.7282,0.7769,3.333,30,24,6,13.09,10.0,8.0,0.43633333333333335,0,0,3,3
72,BER,Culture Enthusiast,15,72,14,toptw,8000.0,0.7116,0.822,4.333,30,24,6,13.53,10.0,8.0,0.451,0,0,3,3
72,BER,Culture Enthusiast,15,72,14,scored,8000.0,0.7267,0.7823,3.667,29,23,6,13.0,9.666666666666666,7.666666666666667,0.4482758620689655,0,0,3,3
72,BER,Culture Enthusiast,15,72,14,toptw,16000.0,0.7116,0.822,4.333,30,24,6,13.53,10.0,8.0,0.451,0,0,3,3
72,BER,Culture Enthusiast,15,72,14,scored,16000.0,0.7296,0.8084,3.667,29,23,6,15.46,9.666666666666666,7.666666666666667,0.5331034482758621,0,0,3,3
72,BER,Culture Enthusiast,18,72,14,baseline,,0.677,0.8087,4.0,30,24,6,35.38,10.0,8.0,1.1793333333333331,0,0,3,3
72,BER,Culture Enthusiast,18,72,14,toptw,1000.0,0.7266,0.8156,3.333,28,22,6,6.38,9.333333333333334,7.333333333333333,0.22785714285714284,0,0,3,3
72,BER,Culture Enthusiast,18,72,14,scored,1000.0,0.7282,0.8578,4.0,28,22,6,5.93,9.333333333333334,7.333333333333333,0.21178571428571427,0,0,3,3
72,BER,Culture Enthusiast,18,72,14,toptw,2000.0,0.7267,0.7938,3.333,29,23,6,7.73,9.666666666666666,7.666666666666667,0.26655172413793105,0,0,3,3
72,BER,Culture Enthusiast,18,72,14,scored,2000.0,0.7282,0.7909,3.333,31,25,6,14.66,10.333333333333334,8.333333333333334,0.4729032258064516,0,0,3,3
72,BER,Culture Enthusiast,18,72,14,toptw,4000.0,0.7295,0.8368,3.667,31,25,6,12.45,10.333333333333334,8.333333333333334,0.40161290322580645,0,0,3,3
72,BER,Culture Enthusiast,18,72,14,scored,4000.0,0.742,0.7824,3.333,30,24,6,14.93,10.0,8.0,0.49766666666666665,0,0,3,3
72,BER,Culture Enthusiast,18,72,14,toptw,8000.0,0.7205,0.8174,4.0,32,26,6,14.41,10.666666666666666,8.666666666666666,0.4503125,0,0,3,3
72,BER,Culture Enthusiast,18,72,14,scored,8000.0,0.7232,0.7718,3.667,33,27,6,21.32,11.0,9.0,0.6460606060606061,0,0,3,3
72,BER,Culture Enthusiast,18,72,14,toptw,16000.0,0.7205,0.8174,4.0,32,26,6,14.41,10.666666666666666,8.666666666666666,0.4503125,0,0,3,3
72,BER,Culture Enthusiast,18,72,14,scored,16000.0,0.7257,0.8174,3.667,33,27,6,25.04,11.0,9.0,0.7587878787878788,0,0,3,3
72,BER,Nightlife Seeker,12,57,14,baseline,,0.4396,0.6939,1.333,16,13,3,15.58,5.333333333333333,4.333333333333333,0.9737500000000001,0,0,0,3
72,BER,Nightlife Seeker,12,57,14,toptw,1000.0,0.7002,0.5395,1.667,19,13,6,3.57,6.333333333333333,4.333333333333333,0.18789473684210525,0,0,3,3
72,BER,Nightlife Seeker,12,57,14,scored,1000.0,0.6676,0.5795,1.667,19,13,6,3.98,6.333333333333333,4.333333333333333,0.2094736842105263,0,0,3,3
72,BER,Nightlife Seeker,12,57,14,toptw,2000.0,0.6611,0.5457,2.0,21,15,6,5.91,7.0,5.0,0.2814285714285714,0,0,3,3
