poi_id,destination_id,name,category,lat,lon,avg_visit_minutes,price_level,popularity_score,description,open_hour,close_hour
POI0771,PRG,Jaroslav Vrchlický,history,50.085061,14.396624,60,0,4.1,Jaroslav Vrchlický is a statue on Petrin in Prague.,8,19
POI0772,PRG,svatý Mikuláš,religion,50.087976,14.403204,30,0,4.4,svatý Mikuláš is a church in Prague in Malá Strana neighborhood.,9,17
POI0773,PRG,Máj Národní,shopping,50.082065,14.419772,60,1,4.1,"Máj Národní is a building in Czech Republic, in Prague.",10,20
POI0774,PRG,Divadlo Gong,culture,50.107083,14.48844,90,1,4.1,"Divadlo Gong is a theatre in Prague, Czech Republic.",9,20
POI0775,PRG,Park Portheimka,nature,50.073961,14.405138,90,0,4.1,"Park Portheimka is a garden in Prague, Czech Republic.",0,24
POI0776,PRG,Karlovy lázně,nightlife,50.085395,14.413865,120,1,4.2,"Karlovy lázně is a building in the Czech Republic, in Prague.",18,2
POI0777,PRG,Holešovická tržnice,food,50.099672,14.445984,60,1,4.0,A well-regarded food destination in Prague.,10,23
POI0778,PRG,Náprstkovo muzeum,museum,50.084094,14.415969,120,1,4.2,"Náprstkovo muzeum is a museum in Prague, Czechia.",9,18
POI0779,PRG,1. zastavení,landmark,50.084192,14.394512,60,1,4.0,A well-known landmark in Prague.,8,20
POI0780,PRG,Jan Masaryk,history,50.071241,14.437897,60,0,4.0,A historic site in Prague.,8,19
POI0781,PRG,Panna Maria Sněžná,religion,50.083004,14.423634,30,0,4.3,"Panna Maria Sněžná is a church building in New Town, Czech Republic, in Prague.",7,19
POI0782,PRG,Myšák Gallery,shopping,50.081269,14.424233,60,1,4.1,Myšák Gallery is a building in Prague.,10,20
POI0783,PRG,Divadlo Spejbla a Hurvínka,culture,50.098995,14.398878,90,1,4.2,"Divadlo Spejbla a Hurvínka is a theatre in Prague, Czechia.",9,20
POI0784,PRG,Dienzenhoferovy sady,nature,50.074999,14.408339,90,0,4.1,"Dienzenhoferovy sady is a park in Prague, Czech Republic.",0,24
POI0785,PRG,U Černého vola,nightlife,50.088148,14.391847,120,1,4.1,"U Černého vola is a house in Hradčany, Czech Republic, in Prague.",10,22
POI0786,PRG,Bakeshop,food,50.089693,14.422312,60,1,4.0,A well-regarded food destination in Prague.,7,20
POI0787,PRG,Galerie VIA ART,museum,50.075572,14.415782,120,1,4.0,"Galerie VIA ART is an art gallery in Prague, Czech Republic.",9,18
POI0788,PRG,10. zastavení,landmark,50.08358,14.394133,60,1,4.0,"10. zastavení is a chapel in Czech Republic, in Prague.",8,20
POI0789,PRG,Simón Bolívar,history,50.106873,14.39872,60,0,4.1,"Simón Bolívar is a bronze statue, Bubeneč, Prague, Czech Republic.",8,19
POI0790,PRG,Nejsvětější Salvátor,religion,50.086143,14.415033,30,0,4.3,Nejsvětější Salvátor is a church in Prague.,7,19
POI0791,PRG,Černá růže,shopping,50.084809,14.42572,60,1,4.1,"Černá růže is a Haus with passage in Prague, Na příkopě.",10,20
POI0792,PRG,Semafor,culture,50.099157,14.39762,90,1,4.2,"Semafor is a theatre in Prague, Czech Republic.",9,20
POI0793,PRG,Vojanovy sady,nature,50.088781,14.408255,90,0,4.1,"Vojanovy sady is a park in Prague, Czech Republic.",0,24
POI0794,PRG,Ikona,nightlife,50.087746,14.407891,120,1,4.0,"Ikona is a house in Malá Strana, Czech Republic, in Prague.",16,24
POI0795,PRG,Farmářské tržiště Jiřák,food,50.07829,14.449177,60,1,4.0,A well-regarded food destination in Prague.,8,18
